Timestamp,How often do you come across online content that feels useful or interesting to your studies or interests?,Q2. Which platforms show you the most useful content? ,"When you see something valuable online, what do you usually do first?
",How do you usually save content that you want to keep? (Select all that apply),"On average, how many new items do you save in a week?
",Q6. How often do you open the section where your saved content is stored?,"When you open your saved section, what is your usual reason? (Select all that apply)",How easy is it for you to find a specific item you’ve saved before?,Where do you store most of your saved items?,How would you describe your collection of saved items?,"When you look at your saved list, what best describes your reaction?",When do you usually look through older content?, What usually happens to the content you save over time?,How helpful do you feel your current way of managing saved content is?,What kind of feature would make it easier to handle saved items? (Select all that apply)
11/12/2025 23:26:13,Rarely,YouTube,Save or mark it,Save post or video on the same app,0-5,once or twice a week,Checking recent saves,Very easy,Mostly in one place,Unorganized but manageable,I rarely open it,Rarely do so,It stays unused,Somewhat helpful,Occasional reminders
11/12/2025 23:51:21,A few times a week,YouTube,Save or mark it,Save post or video on the same app,0-5,Hardly ever,Looking for a specific item,Somewhat easy,Mostly in one place,Unorganized but manageable,I find useful things to check again,When I’m reminded by something,It stays unused,Neutral,Better organization tools
11/12/2025 23:56:11,Several times a day,"Instagram / Reels, LinkedIn, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Take a screenshot, Write it down in a note app",6-15,Hardly ever,Organizing or deleting older items,Very difficult,Spread across a few apps.,Unorganized but manageable,I feel like I have too many items,When I need information for a task,I forget about it,Not helpful,Grouping by topic
11/12/2025 23:59:23,Several times a day,"YouTube, Instagram / Reels, LinkedIn, WhatsApp / Telegram groups",Save or mark it,Send to myself or a friend,0-5,Hardly ever,Looking for a specific item,Somewhat difficult,I don’t keep track,Hard to manage,I rarely open it,When I’m reminded by something,I forget about it,Not helpful,Occasional reminders
11/13/2025 0:04:12,Rarely,"YouTube, LinkedIn",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Bookmark it in browser",0-5,once or twice a month,Looking for a specific item,Very easy,Mostly in one place,Somewhat organized,I feel like I have too many items,When I have free time,I check it once in a while,Somewhat helpful,Quick search or filters
11/13/2025 0:14:05,Rarely,YouTube,Save or mark it,Bookmark it in browser,0-5,Hardly ever,Browsing casually,Somewhat difficult,I don’t keep track,Hard to manage,I rarely open it,Rarely do so,I forget about it,Not helpful,Better organization tools
11/13/2025 0:45:25,Several times a day,"YouTube, Instagram / Reels, LinkedIn, Twitter / X, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot, Bookmark it in browser",0-5,Hardly ever,Browsing casually,Somewhat easy,Spread across a few apps.,Somewhat organized,I find useful things to check again,When I’m reminded by something,It stays unused,Neutral,Quick search or filters
11/13/2025 5:42:06,Once a day,"YouTube, LinkedIn, Twitter / X, WhatsApp / Telegram groups",Share it with someone,"Send to myself or a friend, Take a screenshot, Write it down in a note app",0-5,once or twice a month,Checking recent saves,Somewhat easy,Spread across a few apps.,Somewhat organized,I find useful things to check again,When I need information for a task,I check it once in a while,Very helpful,Occasional reminders
11/13/2025 7:29:24,Several times a day,"YouTube, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend",0-5,once or twice a month,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I find useful things to check again,When I’m reminded by something,I check it once in a while,Somewhat helpful,Occasional reminders
11/13/2025 8:15:47,A few times a week,"YouTube, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot, Bookmark it in browser",6-15,Hardly ever,Looking for a specific item,Very difficult,Spread across a few apps.,Hard to manage,I scroll through quickly,When I need information for a task,I check it once in a while,Somewhat helpful,Occasional reminders
